title,Genre,rating,year
Toy Story,Adventure,3.92,1995
Jumanji,Adventure,3.43,1995
Grumpier Old Men,Comedy,3.26,1995
Waiting to Exhale,Comedy,2.36,1995
Father of the Bride Part II,Comedy,3.07,1995
Heat,Action,3.95,1995
Sabrina,Comedy,3.19,1995
Tom and Huck,Adventure,2.88,1995
Sudden Death,Action,3.12,1995
GoldenEye,Action,3.5,1995
"American President, The",Comedy,3.67,1995
Dracula: Dead and Loving It,Comedy,2.42,1995
Balto,Adventure,3.12,1995
Nixon,Drama,3.83,1995
Cutthroat Island,Action,3.0,1995
Casino,Crime,3.93,1995
Sense and Sensibility,Drama,3.78,1995
Four Rooms,Comedy,3.7,1995
Ace Ventura: When Nature Calls,Comedy,2.73,1995
Money Train,Action,2.5,1995
Get Shorty,Comedy,3.49,1995
Copycat,Crime,3.22,1995
Assassins,Action,3.12,1995
Powder,Drama,3.12,1995
Leaving Las Vegas,Drama,3.62,1995
Othello,Drama,3.5,1995
Now and Then,Children,3.33,1995
Persuasion,Drama,4.23,1995
"City of Lost Children, The (Cité des enfants perdus, La)",Adventure,4.01,1995
Shanghai Triad (Yao a yao yao dao waipo qiao),Crime,3.0,1995
Dangerous Minds,Drama,3.18,1995
Twelve Monkeys (a.k.a. 12 Monkeys),Mystery,3.98,1995
Babe,Children,3.65,1995
Dead Man Walking,Crime,3.84,1995
It Takes Two,Children,2.12,1995
Clueless,Comedy,3.29,1995
"Cry, the Beloved Country",Drama,4.25,1995
Richard III,Drama,3.7,1995
Dead Presidents,Action,3.0,1995
Restoration,Drama,3.19,1995
Mortal Kombat,Action,2.54,1995
To Die For,Comedy,3.31,1995
How to Make an American Quilt,Drama,3.07,1995
Seven (a.k.a. Se7en),Mystery,3.98,1995
Pocahontas,Animation,3.15,1995
When Night Is Falling,Drama,3.0,1995
"Usual Suspects, The",Crime,4.24,1995
Mighty Aphrodite,Comedy,3.46,1995
Lamerica,Adventure,5.0,1994
"Big Green, The",Children,2.33,1995
Georgia,Drama,4.0,1995
Home for the Holidays,Drama,3.06,1995
"Postman, The (Postino, Il)",Comedy,4.03,1994
"Indian in the Cupboard, The",Adventure,3.24,1995
Eye for an Eye,Drama,3.75,1996
Mr. Holland's Opus,Drama,3.71,1995
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,2.71,1996
Two if by Sea,Comedy,2.2,1996
Bio-Dome,Comedy,2.53,1996
Lawnmower Man 2: Beyond Cyberspace,Action,2.5,1996
French Twist (Gazon maudit),Comedy,3.4,1995
Friday,Comedy,3.78,1995
From Dusk Till Dawn,Action,3.51,1996
Fair Game,Action,1.7,1995
Kicking and Screaming,Comedy,3.21,1995
"Misérables, Les",Drama,3.46,1995
Bed of Roses,Drama,4.0,1996
Big Bully,Comedy,2.2,1996
Screamers,Action,3.4,1995
Nico Icon,Documentary,4.0,1995
"Crossing Guard, The",Action,3.33,1995
"Juror, The",Drama,2.76,1996
"White Balloon, The (Badkonake sefid)",Children,4.0,1995
Things to Do in Denver When You're Dead,Crime,3.11,1995
Antonia's Line (Antonia),Comedy,3.88,1995
Once Upon a Time... When We Were Colored,Drama,3.0,1995
Angels and Insects,Drama,3.86,1995
White Squall,Action,3.97,1996
Dunston Checks In,Children,2.5,1996
Black Sheep,Comedy,3.16,1996
Nick of Time,Action,3.25,1995
Mary Reilly,Drama,2.62,1996
Vampire in Brooklyn,Comedy,2.83,1995
Beautiful Girls,Comedy,3.95,1996
Broken Arrow,Action,3.02,1996
In the Bleak Midwinter,Comedy,3.5,1995
"Hate (Haine, La)",Crime,3.9,1995
Heidi Fleiss: Hollywood Madam,Documentary,5.0,1995
City Hall,Drama,2.79,1996
Bottle Rocket,Adventure,3.78,1996
Mr. Wrong,Comedy,2.4,1996
Unforgettable,Mystery,3.0,1996
Happy Gilmore,Comedy,3.44,1996
"Bridges of Madison County, The",Drama,3.28,1995
Nobody Loves Me (Keiner liebt mich),Comedy,4.0,1994
Muppet Treasure Island,Adventure,3.33,1996
Catwalk,Documentary,4.0,1996
Braveheart,Action,4.03,1995
Taxi Driver,Crime,4.11,1976
Rumble in the Bronx (Hont faan kui),Action,3.54,1995
Before and After,Drama,3.33,1996
Anne Frank Remembered,Documentary,3.9,1995
"Young Poisoner's Handbook, The",Crime,3.0,1995
If Lucy Fell,Comedy,2.5,1996
"Steal Big, Steal Little",Comedy,3.0,1995
"Boys of St. Vincent, The",Drama,4.0,1992
Boomerang,Comedy,2.66,1992
Chungking Express (Chung Hing sam lam),Drama,4.38,1994
Flirting With Disaster,Comedy,3.58,1996
"NeverEnding Story III, The",Adventure,2.0,1994
Jupiter's Wife,Documentary,3.0,1994
Pie in the Sky,Comedy,2.0,1996
Jade,Thriller,2.83,1995
Down Periscope,Comedy,2.95,1996
Man of the Year,Documentary,3.0,1995
Up Close and Personal,Drama,3.5,1996
"Birdcage, The",Comedy,3.49,1996
"Brothers McMullen, The",Comedy,3.33,1995
Bad Boys,Action,3.25,1995
"Amazing Panda Adventure, The",Adventure,3.33,1995
"Basketball Diaries, The",Drama,3.47,1995
"Awfully Big Adventure, An",Drama,5.0,1995
Amateur,Crime,2.0,1994
Apollo 13,Adventure,3.85,1995
Rob Roy,Action,3.55,1995
"Addiction, The",Drama,1.5,1995
Batman Forever,Action,2.92,1995
Beauty of the Day (Belle de jour),Drama,3.88,1967
Beyond Rangoon,Adventure,2.42,1995
Blue in the Face,Comedy,3.33,1995
Canadian Bacon,Comedy,2.86,1995
Casper,Adventure,2.81,1995
Clockers,Crime,2.89,1995
Congo,Action,2.88,1995
Crimson Tide,Drama,3.64,1995
Crumb,Documentary,4.21,1994
Desperado,Action,3.56,1995
Devil in a Blue Dress,Crime,3.32,1995
Die Hard: With a Vengeance,Action,3.56,1995
"Doom Generation, The",Comedy,2.83,1995
First Knight,Action,3.08,1995
Free Willy 2: The Adventure Home,Adventure,2.4,1995
Hackers,Action,3.23,1995
Jeffrey,Comedy,3.83,1995
Johnny Mnemonic,Action,2.68,1995
Judge Dredd,Action,2.67,1995
Jury Duty,Comedy,2.7,1995
Kids,Drama,3.98,1995
Living in Oblivion,Comedy,4.31,1995
Lord of Illusions,Horror,2.75,1995
Love & Human Remains,Comedy,1.0,1993
Mad Love,Drama,1.5,1995
Mallrats,Comedy,3.4,1995
Mighty Morphin Power Rangers: The Movie,Action,2.26,1995
Mute Witness,Comedy,3.5,1994
Nadja,Drama,3.5,1994
"Net, The",Action,3.04,1995
Nine Months,Comedy,2.82,1995
Party Girl,Comedy,4.12,1995
"Prophecy, The",Fantasy,3.46,1995
Reckless,Comedy,3.0,1995
Safe,Thriller,2.8,1995
"Scarlet Letter, The",Drama,2.42,1995
Showgirls,Drama,2.47,1995
Smoke,Comedy,3.67,1995
Something to Talk About,Comedy,3.1,1995
Species,Horror,2.67,1995
Strange Days,Action,3.25,1995
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama,4.12,1964
Three Wishes,Drama,3.0,1995
Total Eclipse,Drama,3.0,1995
"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,3.43,1995
Under Siege 2: Dark Territory,Action,2.72,1995
Unstrung Heroes,Comedy,3.17,1995
Unzipped,Documentary,3.0,1995
"Walk in the Clouds, A",Drama,3.43,1995
Waterworld,Action,2.91,1995
White Man's Burden,Drama,3.17,1995
Wild Bill,Western,3.0,1995
"Browning Version, The",Drama,3.5,1994
Bushwhacked,Adventure,3.0,1995
Burnt by the Sun (Utomlyonnye solntsem),Drama,3.83,1994
Before the Rain (Pred dozhdot),Drama,4.0,1994
Before Sunrise,Drama,4.04,1995
Billy Madison,Comedy,3.33,1995
"Babysitter, The",Drama,2.33,1995
Boys on the Side,Comedy,3.43,1995
"Cure, The",Drama,3.0,1995
Castle Freak,Horror,3.0,1995
Circle of Friends,Drama,3.75,1995
Clerks,Comedy,3.86,1994
Don Juan DeMarco,Comedy,3.61,1995
Disclosure,Drama,3.54,1994
Drop Zone,Action,2.86,1994
Destiny Turns on the Radio,Comedy,2.33,1995
